Player,Team,IP,K,ERA,WHIP
Brad Hand,CLE,57.1,84,3.3,1.24
Paul Fry,BAL,57.1,55,5.34,1.45
Nick Margevicius,SD,57,42,6.79,1.61
Brandon Kintzler,CHC,57,48,2.68,1.02
Aroldis Chapman,NYY,57,85,2.21,1.11
Adam Cimber,CLE,56.2,41,4.45,1.32
Reyes Moronta,SF,56.2,70,2.86,1.31
Hector Velazquez,BOS,56.1,49,5.43,1.53
Michael Feliz,PIT,56.1,73,3.99,1.26
Trevor Bauer,CIN,56.1,68,6.39,1.35
Oliver Drake,TB,56,70,3.21,0.98
T.J. McFarland,ARI,56,35,4.82,1.63
Amir Garrett,CIN,56,78,3.21,1.41
Scott Oberg,COL,56,58,2.25,1.11
Ryan Brasier,BOS,55.2,61,4.85,1.29
Ryne Stanek,TB,55.2,61,3.4,1.15
Robbie Erlin,SD,55.1,52,5.37,1.57
Richard Bleier,BAL,55.1,30,5.37,1.32
Jason Vargas,PHI,55.1,43,5.37,1.52
Tanner Roark,OAK,55,50,4.58,1.35
Jace Fry,CWS,55,68,4.75,1.58
Tyler Webb,STL,55,48,3.76,1.02
Colten Brewer,BOS,54.2,52,4.12,1.7
Andrew Miller,STL,54.2,70,4.45,1.32
Ryan Pressly,HOU,54.1,72,2.32,0.9
Shawn Armstrong,BAL,54.1,60,5.13,1.55
Ryne Harper,MIN,54.1,50,3.81,1.18
Tony Watson,SF,54,41,4.17,1.26
Andrew Cashner,BOS,53.2,42,6.2,1.62
Javy Guerra,WAS,53.2,42,4.86,1.25
Tyler Alexander,DET,53.2,47,4.86,1.4
Yoshihisa Hirano,ARI,53,61,4.75,1.38
Ken Giles,TOR,53,83,1.87,1
Trevor Gott,SF,52.2,57,4.44,1.1
Andrew Chafin,ARI,52.2,68,3.76,1.33
Jeremy Jeffress,MIL,52,46,5.02,1.37
Taylor Cole,LAA,51.2,50,5.92,1.59
Colin Poche,TB,51.2,72,4.7,1.01
Tim Mayza,TOR,51.1,55,4.91,1.4
Kelvin Herrera,CWS,51.1,53,6.14,1.62
Joe Kelly,LAD,51.1,62,4.56,1.38
Drew Smyly,TEX,51.1,52,8.42,1.91
Sam Dyson,SF,51,47,2.47,0.9
Chaz Roe,TB,51,65,4.06,1.57
Trey Wingenter,SD,51,72,5.65,1.22
Manny Banuelos,CWS,50.2,44,6.93,1.84
Evan Marshall,CWS,50.2,41,2.49,1.3
Jarlin Garcia,MIA,50.2,39,3.02,1.11
Aaron Brooks,OAK,50.1,43,5.01,1.25
Clay Holmes,PIT,50,56,5.58,1.62
Joe Biagini,TOR,50,50,3.78,1.34
Andrew Kittredge,TB,49.2,58,4.17,1.27
Tyler Kinley,MIA,49.1,46,3.65,1.6
Brendan McKay,TB,49,56,5.14,1.41
Devin Smeltzer,MIN,49,38,3.86,1.27
Corbin Burnes,MIL,49,70,8.82,1.84
Kyle Crick,PIT,49,61,4.96,1.55
Luke Bard,LAA,49,40,4.78,1.1
Ranger Suarez,PHI,48.2,42,3.14,1.32
Daniel Ponce de Leon,STL,48.2,52,3.7,1.27
Carlos Martinez,STL,48.1,53,3.17,1.18
Jared Hughes,CIN,48.1,34,4.1,1.24
Tanner Rainey,WAS,48.1,74,3.91,1.45
Mitch Keller,PIT,48,65,7.13,1.83
Daniel Hudson,TOR,48,48,3,1.27
Anthony Bass,SEA,48,43,3.56,0.98
Dan Straily,BAL,47.2,33,9.82,1.99
Shawn Kelley,TEX,47.1,43,4.94,1.39
Juan Nicasio,PHI,47.1,45,4.75,1.65
Josh Taylor,BOS,47.1,62,3.04,1.18
Brandon Brennan,SEA,47.1,47,4.56,1.23
Austin Pruitt,TB,47,39,4.4,1.26
Justin Anderson,LAA,47,60,5.55,1.57
Roenis Elias,SEA,47,45,3.64,1.23
Matt Grace,WAS,46.2,35,6.36,1.52
Chris Stratton,PIT,46.2,47,3.66,1.39
Dylan Floro,LAD,46.2,42,4.24,1.29
Jefry Rodriguez,CLE,46.2,33,4.63,1.48
Mark Melancon,SF,46.1,44,3.5,1.4
Tayron Guerrero,MIA,46,43,6.26,1.7
Kolby Allard,TEX,45.1,33,4.96,1.57
Clayton Richard,TOR,45.1,22,5.96,1.57
Ryan Buchter,OAK,45.1,50,2.98,1.43
Austin Brice,MIA,44.2,46,3.43,1.23
Caleb Ferguson,LAD,44.2,54,4.84,1.48
Blaine Hardy,DET,44.1,29,4.47,1.15
Shelby Miller,TEX,44,30,8.59,1.98
Austin Voth,WAS,43.2,44,3.3,1.05
Nick Anderson,MIA,43.2,69,3.92,1.28
Zac Gallen,ARI,43.2,53,2.89,1.26
Adam Kolarek,TB,43.1,36,3.95,1.22
Lucas Sims,CIN,43,57,4.6,1.16
Victor Alcantara,DET,42.2,24,4.85,1.41
David Hernandez,CIN,42.2,53,8.02,1.71
Wade Davis,COL,42.2,42,8.65,1.88
Pedro Strop,CHC,41.2,49,4.97,1.27
Touki Toussaint,ATL,41.2,45,5.62,1.68
Jake Diekman,KC,41.2,63,4.75,1.34
Cole Irvin,PHI,41.2,31,5.83,1.39
Jonathan Holder,NYY,41.1,46,6.31,1.31
Cory Gearrin,SEA,41.1,39,3.92,1.43
Jake McGee,COL,41.1,35,4.35,1.4
Branden Kline,BAL,41,34,5.93,1.54
Jimmy Yacabonis,BAL,41,33,6.8,1.83
Jose Urquidy,HOU,41,40,3.95,1.1
Ryan Weber,BOS,40.2,29,5.09,1.38
Oliver Perez,CLE,40.2,48,3.98,1.23
Dominic Leone,STL,40.2,46,5.53,1.5
Ryan Carpenter,DET,40.2,25,9.3,1.82
Nick Goody,CLE,40.2,50,3.54,1.28
Brian Johnson,BOS,40.1,31,6.02,1.88
Wily Peralta,KC,40.1,24,5.8,1.59
Jose Ruiz,CWS,40,35,5.63,2
Tony Gonsolin,LAD,40,37,2.93,1.03
Justin Shafer,TOR,39.2,39,3.86,1.66
Tim Hill,KC,39.2,39,3.63,1.11
Brad Brach,CHC,39.2,45,6.13,1.76
Logan Webb,SF,39.2,37,5.22,1.46
